"belief_benef_low","belief_benef_high","max_invest","value_AM_infty"
0.16,0.1,9,6.063135056
0.16,0.12,10,6.07130808
0.16,0.14,12,6.0798575088
0.16,0.16,13,6.089856208
0.16,0.18,14,6.1001342464
0.16,0.2,15,6.111630896
0.16,0.22,16,6.1219435056
0.16,0.24,17,6.1330019776
0.16,0.26,18,6.145949352
0.16,0.28,19,6.1572645152
0.16,0.3,20,6.1698212
0.16,0.32,20,6.180719488
0.16,0.34,21,6.193248176
0.16,0.36,22,6.2053793728
0.16,0.38,22,6.218560592
0.16,0.4,23,6.230237472
0.16,0.42,23,6.242752192
0.16,0.44,24,6.2549186976
0.16,0.46,24,6.2676920752
0.16,0.48,25,6.2800752096
0.16,0.5,25,6.29234928
0.16,0.52,25,6.3039718976
0.16,0.54,26,6.3165865648
0.16,0.56,26,6.329805728
0.16,0.58,27,6.3423056496
0.16,0.6,27,6.354613808
0.16,0.62,27,6.367233528
0.16,0.64,28,6.3798087712
0.16,0.66,28,6.3922697504
0.16,0.68,28,6.404946528
0.16,0.7,29,6.417197304
0.16,0.72,29,6.429723232
0.16,0.74,29,6.4425674656
0.16,0.76,29,6.4552710912
0.16,0.78,30,6.4678488736
0.16,0.8,30,6.480492272
0.16,0.82,30,6.4931210496
0.16,0.84,30,6.5016673824
0.16,0.86,31,6.5154188928
0.16,0.88,31,6.5286793728
0.16,0.9,31,6.542283976
0.16,0.92,31,6.5519744
0.16,0.94,32,6.5686026272
0.16,0.96,32,6.5787693248
0.16,0.98,32,6.5891770016
0.16,1,32,6.59595592
0.18,0,10,6.07201412
0.18,0.02,11,6.07308044
0.18,0.04,11,6.0741860912
0.18,0.06,11,6.074393188
0.18,0.08,11,6.0748281568
0.18,0.1,12,6.0799682
0.18,0.12,13,6.0885723536
0.18,0.14,14,6.0979919304
0.18,0.16,15,6.1073788176
0.18,0.18,16,6.1177076464
0.18,0.2,17,6.128033024
0.18,0.22,18,6.1394156792
0.18,0.24,18,6.1516011584
0.18,0.26,19,6.1622435168
0.18,0.28,20,6.17379816
0.18,0.3,20,6.18522118
0.18,0.32,21,6.1973261632
0.18,0.34,22,6.208117628
0.18,0.36,22,6.2220702752
0.18,0.38,23,6.2329840704
0.18,0.4,23,6.24609552
0.18,0.42,24,6.2588253424
0.18,0.44,24,6.2704164032
0.18,0.46,25,6.2831005544
0.18,0.48,25,6.2951024544
0.18,0.5,26,6.30742676
0.18,0.52,26,6.3198962976
0.18,0.54,26,6.332812736
0.18,0.56,27,6.3455848288
0.18,0.58,27,6.35835492
0.18,0.6,27,6.370315304
0.18,0.62,28,6.3827858472
0.18,0.64,28,6.3961296288
0.18,0.66,28,6.4084247392
0.18,0.68,29,6.4211519888
0.18,0.7,29,6.433487044
0.18,0.72,29,6.446027688
0.18,0.74,29,6.4585302784
0.18,0.76,30,6.4714504528
0.18,0.78,30,6.4841771072
0.18,0.8,30,6.496919088
0.18,0.82,30,6.5095686032
0.18,0.84,31,6.522298816
0.18,0.86,31,6.5349889736
0.18,0.88,31,6.5477393504
0.18,0.9,31,6.560325332
0.18,0.92,32,6.573103232
0.18,0.94,32,6.5856464912
0.18,0.96,32,6.5982368848
0.18,0.98,32,6.6110175664
0.18,1,32,6.61006432
0.2,0,13,6.0915972
0.2,0.02,13,6.092549672
0.2,0.04,13,6.093130576
0.2,0.06,13,6.093415432
0.2,0.08,13,6.09388048
0.2,0.1,14,6.09996652
0.2,0.12,15,6.109375248
0.2,0.14,16,6.118424264
0.2,0.16,17,6.126934864
0.2,0.18,17,6.13748852
0.2,0.2,18,6.14903216
0.2,0.22,19,6.161090264
0.2,0.24,20,6.171806976
0.2,0.26,20,6.18375388
0.2,0.28,21,6.19527208
0.2,0.3,22,6.20649328
0.2,0.32,22,6.218447376
0.2,0.34,23,6.2306304
0.2,0.36,23,6.2429012
0.2,0.38,24,6.25514184
0.2,0.4,24,6.266656
0.2,0.42,25,6.279456552
0.2,0.44,25,6.291417104
0.2,0.46,25,6.303671856
0.2,0.48,26,6.315686096
0.2,0.5,26,6.3280096
0.2,0.52,27,6.340555584
0.2,0.54,27,6.352604944
0.2,0.56,27,6.365530976
0.2,0.58,28,6.377722712
0.2,0.6,28,6.39006384
0.2,0.62,28,6.402688112
0.2,0.64,29,6.415294128
0.2,0.66,29,6.427638776
0.2,0.68,29,6.440071856
0.2,0.7,29,6.4526848
0.2,0.72,30,6.465139376
0.2,0.74,30,6.477595776
0.2,0.76,30,6.490107136
0.2,0.78,30,6.502683256
0.2,0.8,31,6.51544856
0.2,0.82,31,6.528202688
0.2,0.84,31,6.540842672
0.2,0.86,31,6.553338608
0.2,0.88,32,6.565906288
0.2,0.9,32,6.5785872
0.2,0.92,32,6.591214336
0.2,0.94,32,6.603339872
0.2,0.96,32,6.615568976
0.2,0.98,33,6.6287158
0.2,1,33,6.6332068
0.22,0,15,6.1113992
0.22,0.02,15,6.1124015384
0.22,0.04,15,6.1127825904
0.22,0.06,15,6.1132326224
0.22,0.08,15,6.1137704112
0.22,0.1,16,6.120173436
0.22,0.12,17,6.1292483792
0.22,0.14,17,6.1379650256
0.22,0.16,18,6.1476177056
0.22,0.18,19,6.1578492544
0.22,0.2,20,6.169330832
0.22,0.22,20,6.1807761688
0.22,0.24,21,6.1922765856
0.22,0.26,21,6.2041191472
0.22,0.28,22,6.2154780192
0.22,0.3,23,6.226958108
0.22,0.32,23,6.2386698256
0.22,0.34,24,6.2510544416
0.22,0.36,24,6.2630929392
0.22,0.38,24,6.2752832584
0.22,0.4,25,6.287417144
0.22,0.42,25,6.299745644
0.22,0.44,26,6.31219952
0.22,0.46,26,6.3240949168
0.22,0.48,26,6.3365984896
0.22,0.5,27,6.34907844
0.22,0.52,27,6.361356616
0.22,0.54,27,6.373965984
0.22,0.56,28,6.3863722224
0.22,0.58,28,6.3990951104
0.22,0.6,28,6.411698448
0.22,0.62,29,6.4239758024
0.22,0.64,29,6.4367569376
0.22,0.66,29,6.4492073896
0.22,0.68,30,6.4620764752
0.22,0.7,30,6.47431254
0.22,0.72,30,6.4868590096
0.22,0.74,30,6.4996756872
0.22,0.76,31,6.5123745136
0.22,0.78,31,6.5249406376
0.22,0.8,31,6.537533464
0.22,0.82,31,6.5503463336
0.22,0.84,31,6.5630572144
0.22,0.86,32,6.5757827752
0.22,0.88,32,6.5884107952
0.22,0.9,32,6.6013209
0.22,0.92,32,6.613942504
0.22,0.94,32,6.6267180144
0.22,0.96,33,6.6389536608
0.22,0.98,33,6.6516073184
0.22,1,33,6.6599048
0.24,0,17,6.1309188
0.24,0.02,17,6.1323524464
0.24,0.04,17,6.1333050784
0.24,0.06,17,6.1340769712
0.24,0.08,17,6.13585944
0.24,0.1,18,6.140425904
0.24,0.12,18,6.1496702976
0.24,0.14,19,6.1592836688
0.24,0.16,20,6.1684410272
0.24,0.18,20,6.1798763408
0.24,0.2,21,6.190728928
0.24,0.22,21,6.2021551984
0.24,0.24,22,6.2138624512
0.24,0.26,22,6.2254195248
0.24,0.28,23,6.2367822752
0.24,0.3,23,6.24843128
0.24,0.32,24,6.260224496
0.24,0.34,24,6.2728393568
0.24,0.36,25,6.2850319328
0.24,0.38,25,6.2973305536
0.24,0.4,26,6.309502272
0.24,0.42,26,6.3215368448
0.24,0.44,26,6.3342325824
0.24,0.46,27,6.3463356688
0.24,0.48,27,6.3586969184
0.24,0.5,27,6.37101064
0.24,0.52,28,6.383430704
0.24,0.54,28,6.395884072
0.24,0.56,28,6.408583744
0.24,0.58,29,6.4209495248
0.24,0.6,29,6.433662176
0.24,0.62,29,6.4462045168
0.24,0.64,29,6.4587137088
0.24,0.66,30,6.4712295616
0.24,0.68,30,6.4839377312
0.24,0.7,30,6.496456552
0.24,0.72,30,6.5089474528
0.24,0.74,31,6.5215568288
0.24,0.76,31,6.5342552256
0.24,0.78,31,6.547074384
0.24,0.8,31,6.559746272
0.24,0.82,32,6.572491856
0.24,0.84,32,6.585281696
0.24,0.86,32,6.5980500384
0.24,0.88,32,6.6109610048
0.24,0.9,32,6.623961712
0.24,0.92,33,6.6366639392
0.24,0.94,33,6.6491761056
0.24,0.96,33,6.6619431872
0.24,0.98,33,6.6750071264
0.24,1,33,6.68350672
0.26,0,18,6.15250104
0.26,0.02,19,6.1529482288
0.26,0.04,19,6.153713168
0.26,0.06,19,6.154422652
0.26,0.08,19,6.1558678384
0.26,0.1,19,6.162190352
0.26,0.12,20,6.1717159408
0.26,0.14,20,6.1810782424
0.26,0.16,21,6.1901360336
0.26,0.18,21,6.200616472
0.26,0.2,22,6.212493408
0.26,0.22,22,6.2242095384
0.26,0.24,23,6.2360947008
0.26,0.26,23,6.2464976296
0.26,0.28,24,6.2594844704
0.26,0.3,24,6.271320768
0.26,0.32,25,6.2818148304
0.26,0.34,25,6.2953176568
0.26,0.36,26,6.3063310064
0.26,0.38,26,6.3191693704
0.26,0.4,26,6.331154952
0.26,0.42,27,6.3453166864
0.26,0.44,27,6.3576357872
0.26,0.46,27,6.3683804584
0.26,0.48,28,6.381369672
0.26,0.5,28,6.39325116
0.26,0.52,28,6.4073580128
0.26,0.54,29,6.4184090592
0.26,0.56,29,6.4310646352
0.26,0.58,29,6.444365944
0.26,0.6,29,6.456368472
0.26,0.62,30,6.4690333496
0.26,0.64,30,6.4816493328
0.26,0.66,30,6.494301496
0.26,0.68,30,6.5070882144
0.26,0.7,31,6.521705852
0.26,0.72,31,6.5323270784
0.26,0.74,31,6.5451193952
0.26,0.76,31,6.5579290448
0.26,0.78,32,6.5705990608
0.26,0.8,32,6.583310256
0.26,0.82,32,6.5962204736
0.26,0.84,32,6.6089734192
0.26,0.86,32,6.621750044
0.26,0.88,33,6.6346329792
0.26,0.9,33,6.6474821
0.26,0.92,33,6.6605464672
0.26,0.94,33,6.6733367456
0.26,0.96,33,6.6858692624
0.26,0.98,34,6.6986622544
0.26,1,34,6.70661004
0.28,0,20,6.17284928
0.28,0.02,20,6.1733348736
0.28,0.04,20,6.1750346144
0.28,0.06,20,6.1757877328
0.28,0.08,20,6.1761871552
0.28,0.1,20,6.182495928
0.28,0.12,21,6.1922183712
0.28,0.14,21,6.2014267728
0.28,0.16,22,6.2103806944
0.28,0.18,22,6.2212111968
0.28,0.2,23,6.232897568
0.28,0.22,23,6.2446868528
0.28,0.24,24,6.256772368
0.28,0.26,24,6.2688767104
0.28,0.28,25,6.2803839616
0.28,0.3,25,6.291815704
0.28,0.32,25,6.3037589376
0.28,0.34,26,6.3163859696
0.28,0.36,26,6.3290115456
0.28,0.38,27,6.3414474464
0.28,0.4,27,6.353529808
0.28,0.42,27,6.3663581056
0.28,0.44,28,6.3786189472
0.28,0.46,28,6.3914905456
0.28,0.48,28,6.4033291328
