"","belief_benef_low","belief_benef_high","value_AM_infty","max_invest"
"625",0.24,0.24,6.0615252293578,8.65119264884848
"626",0.24,0.26,6.07429759174312,10.7170665769534
"627",0.24,0.28,6.08706995412844,12.412674421464
"628",0.24,0.3,6.09984231651376,13.8507837970294
"629",0.24,0.32,6.11261467889908,15.0993899683064
"630",0.24,0.34,6.1253870412844,16.202670368925
"631",0.24,0.36,6.13815940366973,17.1909545312841
"632",0.24,0.38,6.15093176605505,18.0859681129441
"633",0.24,0.4,6.16370412844037,18.9038079086283
"634",0.24,0.42,6.17647649082569,19.6567326989643
"635",0.24,0.44,6.18924885321101,20.3542940703871
"636",0.24,0.46,6.20202121559633,21.0040791808185
"637",0.24,0.48,6.21479357798165,21.6122150573115
"638",0.24,0.5,6.22756594036697,22.1837207816084
"639",0.24,0.52,6.24033830275229,22.7227595031614
"640",0.24,0.54,6.25311066513761,23.232822637693
"641",0.24,0.56,6.26588302752294,23.7168670353777
"642",0.24,0.58,6.27865538990826,24.1774188308485
"643",0.24,0.6,6.29142775229358,24.6166532383324
"644",0.24,0.62,6.3042001146789,25.0364566831416
"645",0.24,0.64,6.31697247706422,25.4384757633469
"646",0.24,0.66,6.32974483944954,25.8241562557157
"647",0.24,0.68,6.34251720183486,26.1947745005265
"648",0.24,0.7,6.35528956422018,26.5514628851153
"649",0.24,0.72,6.36806192660551,26.895230709569
"650",0.24,0.74,6.38083428899083,27.2269814037026
"651",0.24,0.76,6.39360665137615,27.5475268351634
"652",0.24,0.78,6.40637901376147,27.8575992791955
"653",0.24,0.8,6.41915137614679,28.1578614941655
"654",0.24,0.82,6.43192373853211,28.4489152515603
"655",0.24,0.84,6.44469610091743,28.731308596502
"656",0.24,0.86,6.45746846330275,29.0055420589563
"657",0.24,0.88,6.47024082568807,29.2720739925157
"658",0.24,0.9,6.48301318807339,29.5313251837933
"659",0.24,0.92,6.49578555045872,29.7836828488364
"660",0.24,0.94,6.50855791284404,30.02950411185
"661",0.24,0.96,6.52133027522936,30.2691190446754
"662",0.24,0.98,6.53410263761468,30.5028333319418
"663",0.24,1,6.546875,30.7309306158847
