"","belief_benef_low","belief_benef_high","value_AM_infty","max_invest"
"1346",0.52,0.38,6.50192551724138,29.902649654736
"1347",0.52,0.4,6.51528275862069,30.1564187499639
"1348",0.52,0.42,6.52864,30.4035790761178
"1349",0.52,0.44,6.54199724137931,30.6444661315567
"1350",0.52,0.46,6.55535448275862,30.8793904981065
"1351",0.52,0.48,6.56871172413793,31.1086402488814
"1352",0.52,0.5,6.58206896551724,31.332483072102
"1353",0.52,0.52,6.59542620689655,31.5511681501835
"1354",0.52,0.54,6.60878344827586,31.7649278271724
"1355",0.52,0.56,6.62214068965517,31.9739790925119
"1356",0.52,0.58,6.63549793103448,32.1785249048897
"1357",0.52,0.6,6.64885517241379,32.3787553764165
"1358",0.52,0.62,6.6622124137931,32.5748488344527
"1359",0.52,0.64,6.67556965517241,32.7669727759464
"1360",0.52,0.66,6.68892689655172,32.9552847270816
"1361",0.52,0.68,6.70228413793103,33.1399330192918
"1362",0.52,0.7,6.71564137931035,33.3210574912163
"1363",0.52,0.72,6.72899862068966,33.498790124923
"1364",0.52,0.74,6.74235586206897,33.6732556236474
"1365",0.52,0.76,6.75571310344828,33.8445719373831
"1366",0.52,0.78,6.76907034482759,34.0128507418734
"1367",0.52,0.8,6.7824275862069,34.1781978758728
"1368",0.52,0.82,6.79578482758621,34.3407137409704
"1369",0.52,0.84,6.80914206896552,34.5004936677527
"1370",0.52,0.86,6.82249931034483,34.6576282516539
"1371",0.52,0.88,6.83585655172414,34.8122036614536
"1372",0.52,0.9,6.84921379310345,34.9643019230534
"1373",0.52,0.92,6.86257103448276,35.1140011808719
"1374",0.52,0.94,6.87592827586207,35.2613759389433
"1375",0.52,0.96,6.88928551724138,35.4064972835824
"1376",0.52,0.98,6.90264275862069,35.5494330892812
"1377",0.52,1,6.916,35.6902482093305
"1378",0.54,0,6.37534583063995,27.0858420451753
"1379",0.54,0.02,6.37534583063995,27.0858420451753
"1380",0.54,0.04,6.37534583063995,27.0858420451753
"1381",0.54,0.06,6.37534583063995,27.0858420451753
"1382",0.54,0.08,6.37534583063995,27.0858420451753
"1383",0.54,0.1,6.37534583063995,27.0858420451753
"1384",0.54,0.12,6.37534583063995,27.0858420451753
"1385",0.54,0.14,6.37534583063995,27.0858420451753
"1386",0.54,0.16,6.38395724137931,27.3063631446153
"1387",0.54,0.18,6.39748206896552,27.6426847496454
"1388",0.54,0.2,6.41100689655173,27.9674955162392
"1389",0.54,0.22,6.42453172413793,28.2815573715455
"1390",0.54,0.24,6.43805655172414,28.5855590095817
"1391",0.54,0.26,6.45158137931035,28.8801249857461
"1392",0.54,0.28,6.46510620689655,29.1658234419758
"1393",0.54,0.3,6.47863103448276,29.4431727027545
"1394",0.54,0.32,6.49215586206897,29.7126469344082
"1395",0.54,0.34,6.50568068965517,29.9746810229189
"1396",0.54,0.36,6.51920551724138,30.2296747962813
"1397",0.54,0.38,6.53273034482759,30.4779966943326
"1398",0.54,0.4,6.54625517241379,30.7199869706119
"1399",0.54,0.42,6.55978,30.9559604960806
"1400",0.54,0.44,6.57330482758621,31.1862092226733
"1401",0.54,0.46,6.58682965517241,31.4110043550354
"1402",0.54,0.48,6.60035448275862,31.6305982709683
"1403",0.54,0.5,6.61387931034483,31.845226224686
"1404",0.54,0.52,6.62740413793103,32.0551078617087
"1405",0.54,0.54,6.64092896551724,32.2604485698499
"1406",0.54,0.56,6.65445379310345,32.4614406871277
"1407",0.54,0.58,6.66797862068965,32.6582645844075
"1408",0.54,0.6,6.68150344827586,32.8510896380492
"1409",0.54,0.62,6.69502827586207,33.0400751057012
"1410",0.54,0.64,6.70855310344828,33.2253709165919
"1411",0.54,0.66,6.72207793103448,33.4071183861405
"1412",0.54,0.68,6.73560275862069,33.585450863424
"1413",0.54,0.7,6.7491275862069,33.7604943189293
"1414",0.54,0.72,6.7626524137931,33.9323678790804
"1415",0.54,0.74,6.77617724137931,34.1011843132228
"1416",0.54,0.76,6.78970206896552,34.2670504780492
"1417",0.54,0.78,6.80322689655172,34.4300677238544
