"1-1",144,0.6,0.5
"1-2",506,0.6,0.5
"2-1",468,0.6,0.5
"2-2",1483,0.6,0.5
"1-1",99,0.6,0.6
"1-2",534,0.6,0.6
"2-1",360,0.6,0.6
"2-2",1608,0.6,0.6
"1-1",77,0.6,0.7
"1-2",540,0.6,0.7
"2-1",254,0.6,0.7
"2-2",1730,0.6,0.7
"1-1",44,0.6,0.8
"1-2",554,0.6,0.8
"2-1",160,0.6,0.8
"2-2",1843,0.6,0.8
"1-1",20,0.6,0.9
"1-2",565,0.6,0.9
"2-1",82,0.6,0.9
"2-2",1934,0.6,0.9
"1-1",551,0.7,0.1
"1-2",61,0.7,0.1
"2-1",1688,0.7,0.1
"2-2",301,0.7,0.1
"1-1",275,0.7,0.2
"1-2",296,0.7,0.2
"2-1",1000,0.7,0.2
"2-2",1030,0.7,0.2
"1-1",186,0.7,0.3
"1-2",322,0.7,0.3
"2-1",826,0.7,0.3
"2-2",1267,0.7,0.3
"1-1",144,0.7,0.4
"1-2",346,0.7,0.4
"2-1",657,0.7,0.4
"2-2",1454,0.7,0.4
"1-1",96,0.7,0.5
"1-2",361,0.7,0.5
"2-1",517,0.7,0.5
"2-2",1627,0.7,0.5
"1-1",72,0.7,0.6
"1-2",364,0.7,0.6
"2-1",387,0.7,0.6
"2-2",1778,0.7,0.6
"1-1",56,0.7,0.7
"1-2",373,0.7,0.7
"2-1",284,0.7,0.7
"2-2",1888,0.7,0.7
"1-1",28,0.7,0.8
"1-2",390,0.7,0.8
"2-1",207,0.7,0.8
"2-2",1976,0.7,0.8
"1-1",14,0.7,0.9
"1-2",382,0.7,0.9
"2-1",88,0.7,0.9
"2-2",2117,0.7,0.9
"1-1",357,0.8,0.1
"1-2",51,0.8,0.1
"2-1",1825,0.8,0.1
"2-2",368,0.8,0.1
"1-1",182,0.8,0.2
"1-2",186,0.8,0.2
"2-1",1131,0.8,0.2
"2-2",1102,0.8,0.2
"1-1",120,0.8,0.3
"1-2",205,0.8,0.3
"2-1",899,0.8,0.3
"2-2",1377,0.8,0.3
